A000010,A000062,A000186,B000176,B000271,B000384,B000709,B000820,B000823,B000913,B001099,B001167,B001177,B001180,B001208,C000128,C000154,C000221,C000338,C000506,C000758,C000774,C000802,C000906,D000031,D000036,D000360,D000456,D000516,D000585,E000018,E000112,E000211,F000081,F000190,F000356,F000401,G000131,G000205,G000267,G000320,G000418,G000481,H000385,H000495,H000502,H000559,H000598,H000679,H000720,H000875,H000953,H000975,I000050,J000013,J000093,J000127,J000160,J000195,K000044,K000107,K000144,K000176,K000292,K000335,L000070,L000224,L000240,L000428,M000053,M000086,M000113,M000177,M000279,M000308,M000315,M000332,M000771,M000859,M001014,M001078,M001108,N000023,O000088,P000100,P000150,P000460,P000575,R000180,R000317,R000536,S000021,S000138,S000187,S000505,S000553,S000590,S000639,S000701,S000852,S001136,T000009,T000259,T000289,U000032,W000190,W000269,W000465,W000518,Y000047,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,Yea,Yea,Nay,Nay,Nay,,Nay,Present,,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,,,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,Nay,Present,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Present,Present,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Present,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,,Nay,Present,Nay,Yea,,Yea,Yea,Nay,,Yea,Yea,Yea,Present,Nay,Yea,,Nay,Present,Not Voting,Nay,Nay,1953-07-07,0,,unknown,hr5246,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education, and Welfare, and related independent agencies, for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Yea,Yea,Nay,Nay,Nay,,Nay,Present,,,Nay,Present,Nay,Present,Nay,Present,Yea,Yea,Yea,Nay,Nay,,,,Present,Nay,Yea,Yea,Nay,Present,Nay,,Nay,Nay,Present,Present,Present,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Present,Present,Yea,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Present,Yea,Nay,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Present,Nay,Present,,Nay,Nay,Nay,Nay,Yea,1953-07-07,0,,unknown,hr5246,None,House Appropriations,"An Act making appropriations for the Departments of Labor, and Health, Education, and Welfare, and related independent agencies, for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Present,Nay,Nay,Nay,,Nay,Nay,,,Present,Nay,Nay,Present,Nay,Nay,Nay,Present,Nay,Present,Nay,,,,Present,Nay,Yea,Present,Yea,Nay,Nay,,Nay,Present,Nay,Present,Nay,Yea,Nay,Yea,Yea,Nay,Present,Yea,Present,Nay,Yea,Nay,Nay,,Present,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Present,Nay,Nay,Present,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Present,Yea,Not Voting,Nay,Present,Yea,Yea,Nay,Yea,Not Voting,,Present,Nay,Nay,Nay,,Nay,Present,Nay,Nay,,Present,Nay,Nay,,Present,Not Voting,Nay,Present,Nay,Present,,Nay,Nay,Nay,Yea,Nay,1953-07-13,0,,unknown,,,,,unknown
,Yea,Present,Present,Yea,Yea,,Yea,Yea,,,Present,Yea,Yea,Present,Yea,Present,Nay,Present,Yea,Present,Yea,,,,Present,Present,Nay,Present,Nay,Yea,Yea,,Yea,Present,Yea,Present,Yea,Nay,Yea,Nay,Yea,Yea,Present,Yea,Present,Yea,Present,Yea,Yea,,Present,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Present,Yea,Present,Yea,Yea,Present,Present,Nay,Nay,Nay,Yea,Yea,Yea,Present,Nay,Not Voting,Yea,Present,Nay,Nay,Yea,Nay,Not Voting,,Present,Yea,Yea,Yea,,Yea,Present,Yea,Yea,,Present,Yea,Yea,,Present,Present,Yea,Present,Yea,Present,,Yea,Nay,Yea,Nay,Present,1953-07-13,0,,unknown,,,,,unknown
,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,,,Nay,Present,Yea,Present,Present,Nay,Nay,Nay,Nay,Nay,Yea,,,,Present,Yea,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Present,Nay,Present,Present,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Present,Nay,Present,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Present,Nay,Nay,Present,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,Present,Yea,Present,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,1953-07-14,0,,unknown,,,,,unknown
,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,,,,Present,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,,Yea,Present,Yea,Present,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,1953-07-15,0,,unknown,,,,,unknown
,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,,,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,,,,Present,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Present,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Present,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,,Yea,Present,Yea,Present,Nay,Nay,,Nay,Present,Nay,Yea,Nay,1953-07-15,0,,unknown,hr5898,None,House Ways and Means,"An Act to extend until December 31, 1953, the period with respect to which the excess-profits tax shall be effective",unknown
,Nay,Yea,Yea,Nay,Yea,,Yea,Nay,,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,,Present,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,Present,Not Voting,Present,Present,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,,Nay,Yea,Yea,Present,Yea,Nay,,Yea,Yea,Not Voting,Yea,Nay,1953-07-16,0,,unknown,sjres49,,,,unknown
,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,,,Present,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Present,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,,Nay,Nay,Yea,Present,Yea,Yea,,Yea,Yea,Present,Yea,Yea,1953-07-16,0,,unknown,sjres46,,,,unknown
,Nay,Yea,Yea,Yea,Nay,,Present,Nay,,,Present,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,,,Present,Nay,Nay,Nay,Yea,Present,Nay,,Nay,Present,Nay,Present,Nay,Nay,Yea,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Present,Present,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,Present,Nay,Present,Nay,Nay,Yea,Present,Nay,Nay,Present,,Present,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,,Nay,Yea,Nay,Present,Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,1953-07-17,0,,unknown,s2175,None,Senate Governmental Affairs,"An Act to amend title VI of the Legislative Reorganization Act of 1946, as amended, with respect to the retirement of employees in the Legislative Branch",unknown
,Nay,Nay,Yea,Yea,Nay,,Present,Nay,,,Present,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,,,,Present,Present,Nay,Nay,Yea,Present,Nay,,Nay,Present,Yea,Present,Nay,Yea,Yea,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Present,Present,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,Present,Nay,Present,Nay,Nay,Nay,Present,Yea,Yea,Present,,Present,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,Nay,Nay,Present,Nay,Not Voting,,Nay,Yea,Nay,Yea,Nay,1953-07-17,0,,unknown,s2175,None,Senate Governmental Affairs,"An Act to amend title VI of the Legislative Reorganization Act of 1946, as amended, with respect to the retirement of employees in the Legislative Branch",unknown
,Yea,Nay,Yea,Yea,Yea,,Present,Present,,,Present,Yea,Yea,Present,Nay,Yea,Yea,Present,Present,Yea,Yea,,,,Present,Yea,Yea,Yea,Yea,Present,Nay,,Yea,Present,Nay,Present,Nay,Present,Present,Nay,Nay,Present,Present,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Present,Yea,Yea,Nay,Nay,Nay,Nay,Present,Present,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Yea,Nay,Present,Yea,Yea,Not Voting,,Present,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Yea,,Nay,Nay,Nay,Present,Yea,Present,,Yea,Nay,Yea,Yea,Yea,1953-07-17,0,,unknown,s1152,None,"Senate Agriculture, Nutrition, and Forestry",An Act to extend for a period of 5 years the authority of the Secretary of Agriculture to make loans to fur farmers,unknown
,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,1953-07-21,0,,unknown,,,,,unknown
,Nay,Yea,Nay,Nay,Nay,,Nay,Present,,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Nay,,,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Present,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Present,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Present,Present,Nay,Nay,Yea,Present,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,,Yea,Nay,Nay,Nay,,Nay,Nay,Present,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Present,Nay,Yea,,Nay,Nay,Nay,Nay,Present,1953-07-21,0,,unknown,s2047,,,,unknown
,Nay,Yea,Nay,Nay,Nay,,Nay,Present,,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Present,Yea,Nay,Nay,,,,Nay,Present,Yea,Present,Yea,Nay,Not Voting,,Nay,Nay,Yea,Yea,Present,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Present,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Present,Present,Nay,Nay,Yea,Present,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Present,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Present,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Present,Nay,Yea,,Nay,Nay,Nay,Nay,Present,1953-07-21,0,,unknown,s2047,,,,unknown
,Nay,Yea,Nay,Nay,Nay,,Nay,Present,,,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Present,Yea,Yea,Nay,,,,Yea,Nay,Yea,Present,Yea,Yea,Not Voting,,Nay,Nay,Yea,Yea,Present,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Present,Present,Nay,Nay,Yea,Present,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Present,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,,Yea,Yea,Present,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Present,Nay,Yea,,Nay,Nay,Nay,Nay,Present,1953-07-21,0,,unknown,s2047,,,,unknown
,Yea,Yea,Yea,Yea,Yea,,Yea,Present,,,Yea,Not Voting,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,,,,Yea,Yea,Nay,Present,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Present,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Present,Present,Yea,Yea,Nay,Present,Present,Yea,Nay,Yea,Nay,Yea,Yea,Present,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Present,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Nay,,Yea,Yea,Yea,Yea,Present,1953-07-21,0,,unknown,s2047,,,,unknown
,Yea,Nay,Nay,Yea,Nay,,Nay,Present,,,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Nay,Nay,Present,Present,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Present,Yea,Nay,Present,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,,Nay,Nay,Nay,Present,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,1953-07-22,0,,unknown,hr5969,None,House Appropriations,"An Act making appropriations for the Department of Defense and related independent agencies for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Yea,Nay,Nay,Nay,,Nay,Present,,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Present,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,1953-07-23,0,,unknown,hr5969,None,House Appropriations,"An Act making appropriations for the Department of Defense and related independent agencies for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Yea,Nay,Nay,Nay,,Present,Present,,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Present,,,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Present,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,,Yea,Yea,Yea,Present,Nay,Nay,,Nay,Nay,Present,Nay,Nay,1953-07-23,0,,unknown,hr5969,None,House Appropriations,"An Act making appropriations for the Department of Defense and related independent agencies for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Yea,Yea,Yea,Yea,Yea,,Yea,Present,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,,,Yea,Yea,Yea,Present,Yea,Yea,Yea,,Yea,Present,Yea,Yea,Present,Present,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Present,Present,Not Voting,Yea,Yea,Yea,Present,Yea,Present,Present,Present,Yea,Present,Yea,Present,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Present,,Yea,Yea,Present,Yea,Yea,1953-07-27,0,,unknown,,,,,unknown
,Yea,Yea,Yea,Yea,Yea,,Yea,Present,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,,Yea,Yea,Yea,Present,Yea,Yea,Yea,,Yea,Present,Yea,Yea,Present,Present,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Present,Present,Present,Yea,Yea,Yea,Present,Yea,Present,Present,Present,Yea,Present,Yea,Present,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Present,,Yea,Yea,Present,Yea,Yea,1953-07-27,0,,unknown,,,,,unknown
,Nay,Nay,Yea,Yea,Nay,,Yea,Not Voting,,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Present,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,,Present,Yea,Nay,Present,Not Voting,Present,,Nay,Yea,Nay,Yea,Yea,1953-07-29,0,,unknown,s1917,,,,unknown
,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,,Present,Nay,Nay,Present,Yea,Present,,Nay,Nay,Present,Nay,Nay,1953-07-29,0,,unknown,s1917,,,,unknown
,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,,,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,,Nay,Yea,Yea,,Nay,Nay,Yea,Present,Yea,Present,,Yea,Nay,Yea,Nay,Yea,1953-07-29,0,,unknown,hr6481,None,House Judiciary,"An Act to authorize the issuance of 240,000 special note immigrant visas, and for other purposes",unknown
,Nay,Yea,Nay,Nay,Nay,,Yea,Nay,,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Present,,,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Present,Yea,Nay,Present,Present,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Yea,,Yea,Nay,Yea,,Nay,Yea,Nay,Present,Nay,Present,,Nay,Yea,Nay,Yea,Yea,1953-07-29,0,,unknown,hr6391,None,House Appropriations,"An Act making appropriations for Mutual Security for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,,,Nay,Present,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Present,,,,Yea,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Present,Yea,Nay,Present,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Present,Yea,Present,Nay,Nay,Nay,Yea,Present,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,,Nay,Present,Nay,Yea,,Nay,Nay,Nay,,Nay,Yea,Nay,Present,Nay,Present,,Present,Yea,Nay,Yea,Yea,1953-07-29,0,,unknown,hr6391,None,House Appropriations,"An Act making appropriations for Mutual Security for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,,,Nay,Present,Yea,Yea,Yea,Nay,Nay,Present,Nay,Nay,Present,,,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Present,Yea,Nay,Present,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Present,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Yea,,Yea,Nay,Yea,,Nay,Yea,Nay,Present,Nay,Present,,Present,Yea,Nay,Yea,Yea,1953-07-29,0,,unknown,hr6391,None,House Appropriations,"An Act making appropriations for Mutual Security for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Yea,Yea,Yea,Nay,,Yea,Nay,,,Nay,Present,Yea,Yea,Yea,Nay,Nay,Present,Nay,Nay,Present,,,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Present,Yea,Nay,Present,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Present,Yea,Yea,Yea,Nay,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,,Nay,Not Voting,Nay,Present,,Yea,Nay,Yea,,Nay,Yea,Yea,Present,Nay,Present,,Present,Yea,Nay,Yea,Yea,1953-07-29,0,,unknown,hr6391,None,House Appropriations,"An Act making appropriations for Mutual Security for the fiscal year ending June 30, 1954, and for other purposes",unknown
,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,,,Nay,Present,Yea,Yea,Yea,Nay,Yea,Present,Nay,Nay,Present,,,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Present,Yea,Nay,Present,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Present,Yea,Nay,Yea,Nay,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Present,,Yea,Nay,Nay,,Nay,Yea,Nay,Present,Nay,Present,,Present,Yea,Nay,Yea,Yea,1953-07-29,0,,unknown,hr6391,None,House Appropriations,"An Act making appropriations for Mutual Security for the fiscal year ending June 30, 1954, and for other purposes",unknown
