A000062,A000161,A000186,B000201,B000271,B000384,B000436,B000536,B000593,B000656,B000823,S015,B001167,B001180,B001208,S017,C000120,C000128,C000154,C000189,C000220,C000221,C000338,C000388,C000444,C000758,C000802,C001006,D000360,D000390,D000456,D000585,E000018,E000112,E000181,E000211,F000245,F000401,G000267,G000320,G000508,H000291,H000297,H000385,H000559,H000561,H000598,H000720,H000875,H000953,J000013,J000064,J000195,J000267,J000269,K000036,K000044,K000144,K000335,L000122,L000415,L000425,L000428,M000053,M000113,M000311,M000332,M000445,M000582,M000671,M000730,M000859,M001014,M001022,M001033,M001078,M001100,M001121,N000052,P000100,P000166,S078,P000552,P000553,R000046,R000317,R000536,S000021,S000138,S000174,S000505,S000517,S000590,S000701,S000852,S001136,T000035,S096,T000322,W000465,W000502,W000518,Y000006,Y000047,Y000053,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Present,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Present,Yea,Not Voting,Nay,Present,Nay,Present,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Present,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Present,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,1962-10-01,0,,unknown,hr12080,None,House Financial Services,An Act to permit domestic banks to pay interest on time deposits of foreign governments at rates differing from those applicable to domestic depositors,unknown
Yea,Yea,Present,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Present,Nay,Present,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Present,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Present,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Yea,Nay,Present,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Present,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Present,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Present,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Present,Nay,Yea,Nay,Present,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Not Voting,Nay,Present,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Present,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Present,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Present,Nay,Yea,Nay,Present,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Present,Nay,Yea,Nay,Nay,Yea,,Not Voting,Present,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Not Voting,Yea,Present,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,Yea,Not Voting,Yea,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Present,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Present,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Nay,Present,Nay,Nay,Yea,Yea,Present,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Present,Yea,Yea,Present,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Not Voting,Nay,Present,Yea,Nay,Not Voting,Yea,,Yea,Not Voting,,Yea,Nay,Present,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Present,Yea,Present,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Present,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Present,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Yea,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Present,Nay,Present,Nay,Yea,Not Voting,Yea,,Nay,Not Voting,,Not Voting,Yea,Present,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Present,Present,Nay,Not Voting,Nay,Present,Yea,Present,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Present,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Present,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Not Voting,Yea,Present,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Nay,Present,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Present,Nay,Present,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Present,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Present,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,Nay,Present,Yea,Yea,Present,Yea,Yea,Yea,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Present,Nay,Yea,Nay,Nay,Yea,,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Present,Nay,Present,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Present,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Present,Nay,Nay,Nay,Yea,Present,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Present,Present,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Present,Nay,Yea,Present,Nay,Nay,Yea,Nay,Present,Yea,Present,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Present,Nay,Yea,Nay,Nay,Nay,,Not Voting,Present,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,1962-10-02,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Present,Yea,Present,Nay,Nay,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Present,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Present,Yea,Nay,Yea,Yea,Present,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,1962-10-02,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Not Voting,Not Voting,Present,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Present,Nay,Yea,Nay,Yea,Present,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Present,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,1962-10-02,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",unknown
Not Voting,Yea,Present,Nay,Not Voting,Not Voting,Yea,,Nay,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Present,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,1962-10-02,0,,unknown,hr10650,None,House Ways and Means,"An Act to amend the Internal Revenue Code of 1954 to provide a credit for investment in certain depreciable property, to eliminate certain defects and inequities, and for other purposes",unknown
Present,Nay,Present,Nay,Nay,Not Voting,Nay,,Yea,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Nay,Present,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Present,Nay,Nay,Present,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Present,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,1962-10-03,0,,unknown,hr12580,None,House Appropriations,"An Act making appropriations for the Departments of State, Justice, and Commerce, the Judiciary, and related agencies for the fiscal year ending June 30, 1963, and for other purposes",unknown
Present,Present,Present,Yea,Yea,Present,Nay,,Yea,Present,,Nay,Yea,Present,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Present,Nay,Not Voting,Yea,Present,Yea,Yea,Nay,Yea,Yea,Present,Yea,Yea,Yea,Nay,Present,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Present,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Present,Yea,Nay,Yea,Yea,Yea,Present,Yea,Not Voting,Present,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Present,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Present,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Present,Yea,Nay,Nay,Yea,1962-10-03,0,,unknown,hr12580,None,House Appropriations,"An Act making appropriations for the Departments of State, Justice, and Commerce, the Judiciary, and related agencies for the fiscal year ending June 30, 1963, and for other purposes",unknown
Present,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Not Voting,Yea,Nay,Present,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Present,Nay,Present,Nay,Yea,Present,Not Voting,Present,Not Voting,Not Voting,Nay,Nay,Present,Present,Present,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Present,Yea,Yea,Present,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Present,Nay,Nay,Present,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,1962-10-04,0,,unknown,s3313,,,,unknown
Not Voting,Present,Present,Not Voting,Yea,Present,Present,,Not Voting,Present,,Yea,Yea,Present,Nay,Yea,Present,Yea,Present,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Present,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Present,Present,Not Voting,Not Voting,Yea,Yea,Yea,Present,Present,Present,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Present,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Present,Yea,Present,Present,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Present,Present,Present,Yea,Nay,Yea,Present,Not Voting,1962-10-05,0,,unknown,hr10117,,,,unknown
Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Present,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,1961-01-11,0,,Agreed To,sres4,,,,unknown
Present,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,,Yea,Nay,Nay,Present,Yea,Present,Nay,Nay,Not Voting,Nay,Present,Nay,Nay,Nay,Nay,Yea,Present,Yea,Present,Nay,Nay,,Nay,Yea,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,1961-03-07,0,,Rejected,,,,,unknown
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,,Nay,Yea,Yea,Present,Nay,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,,Present,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1961-03-08,0,,Confirmed,,,,,unknown
Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Present,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,1961-03-10,0,,Passed,hr4510,None,,An Act to provide a special program for feed grains for 1961,unknown
Yea,Present,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,1961-03-14,0,,Rejected,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
Yea,Present,Nay,Not Voting,Yea,Yea,Nay,Present,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,1961-03-15,0,,Rejected,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,1961-03-15,0,,Rejected,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
Nay,Present,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Present,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,1961-03-15,0,,Rejected,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
Nay,Present,Nay,Not Voting,Nay,Yea,Nay,Present,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Present,Present,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Present,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,1961-03-15,0,,Rejected,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
Yea,Present,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Present,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Present,Nay,1961-03-15,0,,Rejected,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
Nay,Present,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,1961-03-15,0,,Passed,s1,None,"Senate Banking, Housing, and Urban Affairs",An Act to establish an effective program to alleviate conditions of substantial and persistent unemployment and underemployment in certain economically distressed areas.,unknown
