A000062,A000161,A000186,B000176,B000271,B000384,B000436,B000536,B000820,B000823,B001167,B001180,B001208,C000128,C000154,C000189,C000220,C000221,C000338,C000388,C000444,C000758,C000802,C001006,D000036,D000360,D000456,D000585,E000018,E000112,E000211,F000190,F000356,F000401,G000267,G000320,G000418,H000385,H000502,H000559,H000598,H000665,H000720,H000875,H000953,I000050,J000013,J000064,J000093,J000160,J000195,J000267,K000044,K000107,K000144,K000292,K000335,L000070,L000122,L000428,M000053,M000086,M000113,M000177,M000199,M000315,M000332,M000582,M000859,M001014,M001022,M001078,M001108,N000023,N000053,O000088,P000100,P000150,P000460,P000553,P000575,R000167,R000317,R000536,S000021,S000138,S000187,S000505,S000553,S000590,S000701,S000852,S001136,T000035,S096,T000259,W000190,W000465,W000518,Y000006,Y000047,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,Yea,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,Yea,Yea,Present,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Present,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Present,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,1958-04-16,0,,Agreed To,s3497,,,,unknown
Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Not Voting,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Present,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,1958-04-16,0,,Passed,s3497,,,,unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Nay,Yea,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,Yea,Nay,Nay,1958-04-24,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1958-04-25,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1958-04-25,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,1958-04-25,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,1958-04-25,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,1958-04-26,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Present,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Present,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Present,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,1958-04-28,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,1958-04-28,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,1958-04-28,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,1958-04-28,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,1958-04-28,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,1958-04-28,0,,Agreed To,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Nay,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,1958-04-28,0,,Rejected,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,1958-04-28,0,,Passed,s2888,None,Senate Labor and Human Resources,"An Act to provide for registration, reporting, and disclosure of employee welfare and pension benefit plans.",unknown
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1958-04-29,0,,Passed,hr11470,None,House Armed Services,"An Act to adjust the method of computing basic pay for officers and enlisted members of the uniformed services, to provide proficiency pay for enlisted members thereof, and for other purposes",unknown
Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Present,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Not Voting,Nay,Nay,Present,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Nay,Not Voting,1958-05-13,0,,Rejected,s3683,,,,unknown
Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Present,Not Voting,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Present,Nay,Not Voting,Present,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Present,Yea,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Present,Nay,Yea,Yea,1958-05-13,0,,Passed,s3683,,,,unknown
Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Present,,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Present,1958-05-14,0,,Confirmed,,,,,unknown
Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,1958-05-21,0,,unknown,hr5836,None,House Post Office and Civil Service,"An Act to readjust postal rates and to establish a congressional policy for the determination of postal rates, and for other purposes.",unknown
Nay,Nay,Present,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Present,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Present,Yea,Yea,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Present,Yea,Nay,Nay,Yea,,Yea,Present,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,1958-05-27,0,,Rejected,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
Yea,Nay,Present,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Present,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Present,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Present,Yea,Not Voting,Yea,Nay,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,1958-05-28,0,,Rejected,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
Yea,Nay,Present,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Present,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Present,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,1958-05-28,0,,Rejected,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
Nay,Nay,Present,Not Voting,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Present,Nay,Present,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Present,Yea,Not Voting,Yea,Nay,Nay,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Present,Nay,Present,Nay,Not Voting,Nay,1958-05-28,0,,Rejected,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
Yea,Yea,Present,Not Voting,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Present,Yea,Present,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,,Present,Nay,Not Voting,Nay,Yea,Yea,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,1958-05-28,0,,Agreed To,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
Yea,Nay,Present,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Present,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Present,Nay,Present,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,,Present,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Present,Nay,1958-05-28,0,,Rejected,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
Yea,Yea,Present,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Present,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,1958-05-28,0,,Passed,hr12065,None,House Ways and Means,An Act to authorize temporary unemployment benefits for individuals who exhaust their benefit rights under existing unemployment compensation laws and for individuals who were employed in noncovered employment,unknown
