A000062,A000161,A000186,B000201,B000223,B000254,B000384,B000436,B000593,B000813,B001077,B001208,B001209,B001210,C000120,C000154,C000220,C000388,C000444,C000758,C000802,C001006,D000360,D000390,D000409,D000456,E000018,E000112,E000211,F000013,F000245,F000401,G000320,G000465,G000508,H000237,H000291,H000297,H000385,H000559,H000598,H000720,H000875,I000025,J000013,J000064,J000195,J000267,J000269,K000105,K000114,K000335,L000122,L000415,L000428,M000053,M000113,M000311,M000332,M000445,M000452,M000486,M000582,M000671,M000730,M000851,M000859,M000876,M001014,M001022,M001033,M001078,M001092,M001121,N000033,N000052,P000100,P000166,P000193,P000552,P000553,R000046,R000191,R000317,R000525,R000536,S000021,S000174,S000434,S000505,S000590,S000701,S000852,S001136,T000035,T000254,T000322,T000445,W000502,W000518,Y000006,Y000047,Y000053,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,1965-09-23,0,,unknown,hr10871,None,House Appropriations,"An Act making appropriations for foreign assistance and related agencies for the fiscal year ending June 30, 1966, and for other purposes",nan
Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Present,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,1965-09-23,0,,unknown,hr10871,None,House Appropriations,"An Act making appropriations for foreign assistance and related agencies for the fiscal year ending June 30, 1966, and for other purposes",nan
Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,1965-09-24,0,,unknown,hr8283,None,House Education and Labor,An Act to expand the war on poverty and enhance the effectiveness of programs under the Economic Opportunity Act of 1964,nan
Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,1965-09-30,0,,unknown,hr9042,None,House Ways and Means,"An Act to provide for the implementation of the Agreement Concerning Automotive Products between the Government of the United States of America and the Government of Canada, and for other purposes",nan
Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,1965-09-30,0,,unknown,hr9042,None,House Ways and Means,"An Act to provide for the implementation of the Agreement Concerning Automotive Products between the Government of the United States of America and the Government of Canada, and for other purposes",nan
Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,1965-09-30,0,,unknown,hr9042,None,House Ways and Means,"An Act to provide for the implementation of the Agreement Concerning Automotive Products between the Government of the United States of America and the Government of Canada, and for other purposes",nan
Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,1965-10-05,0,,unknown,hr10871,None,House Appropriations,"An Act making appropriations for foreign assistance and related agencies for the fiscal year ending June 30, 1966, and for other purposes",nan
Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,1965-10-08,0,,unknown,hr77,,,,
Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,1965-10-08,0,,unknown,hr77,,,,
Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,1965-10-11,0,,unknown,hr77,,,,
Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,1965-10-20,0,,unknown,hr11135,None,House Agriculture,"An Act to amend and extend the provisions of the Sugar Act of 1948, as amended",nan
Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,1965-10-20,0,,unknown,hr11135,None,House Agriculture,"An Act to amend and extend the provisions of the Sugar Act of 1948, as amended",nan
Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,1965-10-20,0,,unknown,hr11135,None,House Agriculture,"An Act to amend and extend the provisions of the Sugar Act of 1948, as amended",nan
Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,1965-10-20,0,,unknown,hr11135,None,House Agriculture,"An Act to amend and extend the provisions of the Sugar Act of 1948, as amended",nan
Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,1965-10-20,0,,unknown,hr11588,None,House Appropriations,"An Act making supplemental appropriations for the fiscal year ending June 30, 1966, and for other purposes",nan
Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,1965-10-20,0,,unknown,hr11588,None,House Appropriations,"An Act making supplemental appropriations for the fiscal year ending June 30, 1966, and for other purposes",nan
Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,1965-10-22,0,,unknown,,,,,
Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,1965-10-22,0,,unknown,hr10281,None,House Post Office and Civil Service,"An Act to adjust the rates of basic compensation of certain officers and employees in the Federal Government, to establish the Federal Salary Review Commission, and for other purposes",nan
Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1965-10-22,0,,unknown,,,,,
Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,1965-10-22,0,,unknown,hr11135,None,House Agriculture,"An Act to amend and extend the provisions of the Sugar Act of 1948, as amended",nan
Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,1965-10-22,0,,unknown,hr11135,None,House Agriculture,"An Act to amend and extend the provisions of the Sugar Act of 1948, as amended",nan
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,1966-01-18,0,,unknown,s1446,,,,
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,1966-01-19,0,,unknown,hr30,None,House International Relations,"An Act to provide for participation of the United States in the Inter-American Cultural and Trade Center in Dade County, Fla., and for other purposes",nan
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,1966-01-19,0,,unknown,hr30,None,House International Relations,"An Act to provide for participation of the United States in the Inter-American Cultural and Trade Center in Dade County, Fla., and for other purposes",nan
Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,1966-01-20,0,,unknown,hr8126,None,House District of Columbia,"An Act to amend the District of Columbia minimum wage law to provide broader coverage, improved standards of minimum wage and overtime compensation protection, and improved means of enforcement",nan
Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,1966-01-20,0,,unknown,hr8126,None,House District of Columbia,"An Act to amend the District of Columbia minimum wage law to provide broader coverage, improved standards of minimum wage and overtime compensation protection, and improved means of enforcement",nan
