A000062,A000161,A000186,B000201,B000271,B000384,B000436,B000536,B000593,B000656,B000823,B001077,B001167,B001180,B001208,B001210,C000120,C000128,C000154,C000189,C000220,C000221,C000338,C000388,C000444,C000758,C000802,C001006,D000360,D000390,D000456,D000585,E000018,E000112,E000181,E000211,F000245,F000401,G000267,G000320,G000508,H000291,H000297,H000385,H000559,H000561,H000598,H000720,H000875,H000953,J000013,J000064,J000195,J000267,J000269,K000036,K000044,K000144,K000335,L000122,L000415,L000425,L000428,M000053,M000113,M000311,M000332,M000445,M000582,M000671,M000730,M000859,M001014,M001022,M001033,M001078,M001100,M001121,N000052,P000100,P000166,P000193,P000552,P000553,R000046,R000317,R000536,S000021,S000138,S000174,S000505,S000517,S000590,S000701,S000852,S001136,T000035,T000254,T000322,W000465,W000502,W000518,Y000006,Y000047,Y000053,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,Nay,Nay,Yea,Yea,Nay,,Yea,Not Voting,,Nay,Yea,Yea,Yea,Nay,Present,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Present,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,1962-09-18,0,,unknown,hr11970,None,House Ways and Means,"An Act to promote the general welfare, foreign policy, and security of the United States through international trade agreements and through adjustment assistance to domestic industry, agriculture, and labor, and for other purposes",nan
Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,,Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,Present,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Present,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Present,Present,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Present,Nay,,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Present,Nay,Yea,Nay,Nay,Nay,1962-09-18,0,,unknown,hr11970,None,House Ways and Means,"An Act to promote the general welfare, foreign policy, and security of the United States through international trade agreements and through adjustment assistance to domestic industry, agriculture, and labor, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,1962-09-19,0,,unknown,hr11970,None,House Ways and Means,"An Act to promote the general welfare, foreign policy, and security of the United States through international trade agreements and through adjustment assistance to domestic industry, agriculture, and labor, and for other purposes",nan
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1962-09-19,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Not Voting,,Nay,Not Voting,Not Voting,Yea,Yea,Present,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Present,Nay,Present,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,1962-09-20,0,,unknown,s2800,,,,
Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1962-09-20,0,,unknown,sjres230,None,nan,Joint resolution expressing the determination of the United States with respect to the situation in Cuba,nan
Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,,Nay,Present,Present,Nay,Nay,Not Voting,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Present,Present,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Present,Present,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Present,Present,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,1962-09-20,0,,unknown,hr11164,None,House Resources,"An Act to approve an amendatory repayment contract negotiated with the Quincy Columbia Basin Irrigation District, authorize similar contracts with any of the Columbia Basin Irrigation Districts, and to amend the Columbia Basin Project Act of 1943 (57 Stat. 14), as amended, and or other purposes",nan
Present,Nay,Nay,Nay,Present,Yea,Nay,,Nay,Not Voting,,Nay,Yea,Present,Yea,Nay,Present,Present,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Present,Yea,Nay,Yea,Nay,Present,Not Voting,Present,Not Voting,Yea,Nay,Nay,Present,Present,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Present,Yea,Present,Nay,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Not Voting,Nay,Nay,Present,Yea,Nay,Present,Nay,Yea,,Not Voting,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,1962-09-21,0,,unknown,hr8181,None,House District of Columbia,An Act to authorize the construction of a National Fisheries Center and Aquarium in  the District of Columbia and to provide for its operation,nan
Present,Yea,Yea,Yea,Present,Not Voting,Yea,,Yea,Not Voting,,Yea,Nay,Present,Present,Yea,Present,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Present,Nay,Yea,Nay,Yea,Present,Not Voting,Present,Not Voting,Yea,Yea,Yea,Present,Present,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Present,Nay,Present,Yea,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Present,Yea,Yea,Present,Yea,Nay,Not Voting,Yea,Not Voting,Present,Nay,Yea,Present,Yea,Nay,,Not Voting,Present,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,1962-09-21,0,,unknown,hr8181,None,House District of Columbia,An Act to authorize the construction of a National Fisheries Center and Aquarium in  the District of Columbia and to provide for its operation,nan
Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Present,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1962-09-24,0,,unknown,hr12648,None,House Appropriations,"An Act making appropriations for the Department of Agriculture and related agencies for the fiscal year ending June 30, 1963, and for other purposes",nan
Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Nay,Nay,,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,1962-09-25,0,,unknown,hr12391,None,House Agriculture,"An Act to improve and protect farm income, to reduce costs of farm programs to the Federal Government, to reduce the Federal Governments excessive stocks of agricultural commodities, to maintain reasonable and stable prices of agricultural commodities and products",nan
Present,Nay,Present,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Nay,Present,Nay,Nay,Nay,Not Voting,Present,Present,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Not Voting,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Present,Yea,Present,Nay,Present,Nay,Nay,Yea,Nay,Nay,Nay,Present,Yea,Present,Present,Yea,Yea,Nay,Yea,Present,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Present,Nay,Present,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Present,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Present,Nay,Present,Not Voting,Yea,Present,Yea,Nay,Present,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Present,Yea,Nay,Present,Yea,Yea,Present,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Present,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Present,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Present,Nay,Present,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Present,Nay,Present,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Present,Nay,Present,Nay,Nay,Yea,Nay,Present,Present,Nay,Nay,Present,Nay,Present,Not Voting,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Present,Nay,Yea,Present,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Present,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Nay,Yea,Present,Nay,Nay,Present,Nay,,Nay,Not Voting,,Nay,Yea,Yea,Nay,Yea,Yea,Present,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Present,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Present,Nay,Nay,Present,Yea,Present,Not Voting,Nay,Present,Nay,Yea,Present,Present,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Present,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Present,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Yea,Nay,Present,Yea,Yea,Not Voting,Nay,,Nay,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Present,Not Voting,Yea,Yea,Yea,Present,Nay,Yea,Nay,Present,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Present,Present,Present,Not Voting,Yea,Present,Nay,Nay,Present,Present,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Present,Yea,Yea,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Present,Yea,,Yea,Yea,Yea,Yea,Present,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Nay,Yea,Not Voting,Nay,Nay,Present,Nay,,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Present,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Present,Yea,Present,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Present,Nay,,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Yea,Yea,Present,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,1962-09-27,0,,unknown,hr7927,None,House Post Office and Civil Service,"An Act to adjust postal rates, and for other purposes",nan
Yea,Yea,Present,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Present,Not Voting,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Present,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Present,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,1962-09-28,0,,unknown,hr10,None,House Ways and Means,An Act to encourage the establishment of voluntary pension plans by self-employed individuals,nan
Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Nay,Present,Present,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Present,Yea,Present,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Present,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Present,Present,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,1962-09-29,0,,unknown,hr12900,None,House Public Works and Transportation,"An Act making appropriations for certain civil functions administered by the Department of Defense, certain agencies of the Department of the Interior, the Atomic Energy Commission, the St Lawrence Seaway Development Corporation, the Tennessee Valley Authority a",nan
Nay,Not Voting,Present,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Nay,Present,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Present,Nay,Present,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Not Voting,Yea,Present,Nay,Yea,Present,Present,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Present,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,,Not Voting,Nay,Present,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,1962-10-01,0,,unknown,hr12900,None,House Public Works and Transportation,"An Act making appropriations for certain civil functions administered by the Department of Defense, certain agencies of the Department of the Interior, the Atomic Energy Commission, the St Lawrence Seaway Development Corporation, the Tennessee Valley Authority a",nan
Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Present,Yea,Not Voting,Yea,Present,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Present,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Present,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,1962-10-01,0,,unknown,hr12900,None,House Public Works and Transportation,"An Act making appropriations for certain civil functions administered by the Department of Defense, certain agencies of the Department of the Interior, the Atomic Energy Commission, the St Lawrence Seaway Development Corporation, the Tennessee Valley Authority a",nan
Nay,Nay,Present,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Present,Yea,Not Voting,Nay,Present,Nay,Present,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Present,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Present,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,1962-10-01,0,,unknown,hr12080,None,House Financial Services,An Act to permit domestic banks to pay interest on time deposits of foreign governments at rates differing from those applicable to domestic depositors,nan
Yea,Yea,Present,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Present,Nay,Present,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Present,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Present,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",nan
Yea,Nay,Present,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Present,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Present,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Present,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Present,Nay,Yea,Nay,Present,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Present,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,1962-10-01,0,,unknown,hr13175,None,House Appropriations,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",nan
